id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0uAW2j0sLBHVr3Gs9IGIqf,æˆ‘ä¸å¦‚,47,216000,0,['Mike æ›¾æ¯”ç‰¹'],['33oY0RTyXAMYBM6QSImuo7'],1/8/2021,0.668,0.398,0,-6.971,1,0.0294,0.734,0,0.108,0.538,127.809,4
1KkNym3ktqbrXvdg9vQTyJ,Ghetto Santa,47,222000,1,"['Thug Slime', 'Light']","['2CeSpJpSDU42CUgPdGfyo0', '1UdbiTrv73Dp7F0s3OHmn2']",1/8/2021,0.649,0.796,7,-6.518,0,0.202,0.236,0,0.133,0.561,150.012,4
1jrQFSvutJhrIWjFK3uicQ,Tsigalko,47,131924,1,"['Dof Twogee', 'Wang', 'Beats Pliz']","['1OJxI4NQfY6osMvhfRMMEX', '3ef2an5giEP6Hc60lKEVEy', '6x6jVrxZYv8bB6fwPsg79E']",1/8/2021,0.743,0.688,6,-11.27,0,0.131,0.379,1.40E-06,0.11,0.579,138.254,4
2qiurhxYaC2RAhBySKI2ny,Sta Kokkina,47,192437,0,"['Demy', 'Fy']","['12muvykhaMY3RlVrJQ2ApM', '0WxSlQlue0fq99fXfGBmxA']",1/8/2021,0.675,0.52,11,-11.62,0,0.134,0.0737,0,0.512,0.725,92.033,4
0xu6C4vGdyVynJVbeBD8EL,RIRI,46,190956,1,['AlbertNbn'],['33CSqdyro89aOFiZb5fU5U'],1/8/2021,0.832,0.597,11,-4.144,1,0.409,0.0647,1.29E-05,0.122,0.611,169.912,4
5zZbXSRIFe1uWNmEM7f2XI,"FrÃ¼hlingsstimmen, Walzer, Op. 410",35,459053,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.219,0.0855,0,-19.703,0,0.0404,0.974,0.922,0.355,0.156,171.849,3
4uaWclMPHnWjm9YVGytlAS,"Neue Melodien-Quadrille, Op. 254",30,254360,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.49,0.311,10,-16.749,1,0.0453,0.915,0.835,0.171,0.421,123.434,4
7v1zk76XQqz6F411INMEe3,Fatinitza-Marsch,29,184987,0,"['Franz von SuppÃ©', 'Riccardo Muti', 'Wiener Philharmoniker']","['0Yy8ebHB2Ubh1xVIdddNYF', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.662,0.401,7,-13.296,1,0.0388,0.941,0.905,0.288,0.669,117.287,4
316AyasQmOic6W2zM8rYlw,"Radetzky-Marsch, Op. 228",26,193307,0,"['Johann Strauss I', 'Riccardo Muti', 'Wiener Philharmoniker']","['4WMHJgeJCssiGW3ssUT7eb', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.642,0.391,9,-13.798,1,0.0324,0.94,0.943,0.0696,0.711,101.38,4
7nWICHrOpq4mNelpzvfW8j,Grubenlichter-Walzer,26,460707,0,"['Carl Zeller', 'Riccardo Muti', 'Wiener Philharmoniker']","['0qxX21n5NDKPD507EfOlIN', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.293,0.161,5,-16.573,1,0.0324,0.952,0.926,0.0477,0.209,97.923,4
5ZH6LpaSV0rmkr6RkLngqI,"Schallwellen, Walzer, Op. 148",26,670947,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.316,0.108,0,-18.232,1,0.0375,0.936,0.859,0.0785,0.188,101.673,4
4FWUPPBsg82IsojhIcAP0v,"Niko-Polka, Op. 228",26,184413,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.5,0.339,7,-16.881,0,0.0497,0.942,0.914,0.111,0.272,81.163,4
7Lq7lV5MVDduhkRmqP9W4s,"An der schÃ¶nen blauen Donau, Walzer, Op. 314",25,654107,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.269,0.0833,2,-18.492,1,0.0347,0.973,0.908,0.0673,0.106,94.013,4
4vircrVSGNJsFavtLUF29K,Dichter und Bauer: OuvertÃ¼re,25,641453,0,"['Franz von SuppÃ©', 'Riccardo Muti', 'Wiener Philharmoniker']","['0Yy8ebHB2Ubh1xVIdddNYF', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.233,0.131,2,-15.626,1,0.0411,0.947,0.928,0.0903,0.1,149.727,4
4c2QQx5DLH7jh4pO2DWZNW,In Saus und Braus,25,121000,0,"['Carl MillÃ¶cker', 'Riccardo Muti', 'Wiener Philharmoniker']","['6K1xyGXCxKthQwJr5XSDtc', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.634,0.402,5,-12.934,1,0.0347,0.938,0.66,0.21,0.949,84.487,4
5Sc05HxzSAEKPSkwaXSmQ9,"Ohne Sorgen, Polka schnell, Op. 271",25,113933,0,"['Josef Strauss', 'Riccardo Muti', 'Wiener Philharmoniker']","['42fQeku9L8IztrGyUKNcT1', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.4,0.547,0,-12.044,1,0.0467,0.891,0.63,0.0663,0.857,166.178,4
4tV2GAiMdElyGG9Koz3sQd,"Kaiserwalzer, Op. 437",25,783960,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.19,0.06,0,-18.481,1,0.0371,0.973,0.875,0.154,0.0747,179.934,3
2JiapUhhbwvqJzA8WmNV4N,"Venetianer-Galopp, Op. 74",25,122920,0,"['Johann Strauss I', 'Riccardo Muti', 'Wiener Philharmoniker']","['4WMHJgeJCssiGW3ssUT7eb', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.559,0.336,11,-16.448,1,0.0457,0.739,0.248,0.115,0.645,79.348,4
1aDvlKtvTA8SJqBbGL7Nyw,"Bad'ner Mad'ln, Walzer, Op. 257",24,496307,0,"['Karel KomzÃ¡k, Jr.', 'Riccardo Muti', 'Wiener Philharmoniker']","['0cFduwwF1NK3yuzHkyhNJZ', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.345,0.135,2,-16.442,1,0.0313,0.957,0.878,0.0927,0.249,97.238,4
731HF4LtmtLXg5uBmrZU2R,"Margherita-Polka, Op. 244",24,199067,0,"['Josef Strauss', 'Riccardo Muti', 'Wiener Philharmoniker']","['42fQeku9L8IztrGyUKNcT1', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.435,0.164,9,-17.914,1,0.0399,0.967,0.858,0.182,0.755,174.336,4
20X3HiWyrMgsLMQYxdeWap,"Im Krapfenwald'l, Polka franÃ§aise, Op. 336",23,251907,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.503,0.147,11,-20.073,1,0.0545,0.961,0.473,0.0852,0.447,89.08,4
3pFONpfEqLegAj6klDDQFM,"StÃ¼rmisch in Lieb' und Tanz, Polka schnell, Op. 393",23,135413,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.391,0.45,5,-14.744,1,0.0587,0.901,0.379,0.0793,0.609,170.232,4
1rPAhbzCFmEKI1CwWz8L30,"Furioso-Polka, Op. 260",23,142320,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.386,0.602,11,-13.88,1,0.0658,0.873,0.919,0.0744,0.406,167.765,4
55VqxXi21UxYikKbrMXv54,NeujahrsgruÃŸ / New Year's Address / Allocution du Nouvel An,21,217360,0,"['Riccardo Muti', 'Wiener Philharmoniker']","['7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.711,0.0983,1,-28.235,1,0.899,0.778,0,0.62,0.359,111.518,4
3zOecW3ygo5tcw2Hkwwcpe,Fatinitza-Marsch,19,184987,0,"['Franz von SuppÃ©', 'Riccardo Muti', 'Wiener Philharmoniker']","['0Yy8ebHB2Ubh1xVIdddNYF', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.662,0.401,7,-13.296,1,0.0388,0.941,0.905,0.288,0.669,117.287,4
1revociKLpHxfUT9iwKFqt,"An der schÃ¶nen blauen Donau, Walzer, Op. 314",19,654107,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.269,0.0833,2,-18.492,1,0.0347,0.973,0.908,0.0673,0.106,94.013,4
0eDJgjRXQ3bnPanNoYKufe,"FrÃ¼hlingsstimmen, Walzer, Op. 410",18,459053,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.219,0.0855,0,-19.703,0,0.0404,0.974,0.922,0.355,0.156,171.849,3
063pLS4e0abPtec8b2F3C2,"Niko-Polka, Op. 228",17,184413,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.5,0.339,7,-16.881,0,0.0497,0.942,0.914,0.111,0.272,81.163,4
4B8ttRICv8sbtzMOCkeX3K,"Schallwellen, Walzer, Op. 148",17,670947,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.316,0.108,0,-18.232,1,0.0375,0.936,0.859,0.0785,0.188,101.673,4
5gyyWNUlKTstSuUYKwUXKi,"Neue Melodien-Quadrille, Op. 254",16,254360,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.49,0.311,10,-16.749,1,0.0453,0.915,0.835,0.171,0.421,123.434,4
4pTeHeVnu6AxRrl4tP743L,"Radetzky-Marsch, Op. 228",16,193307,0,"['Johann Strauss I', 'Riccardo Muti', 'Wiener Philharmoniker']","['4WMHJgeJCssiGW3ssUT7eb', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.642,0.391,9,-13.798,1,0.0324,0.94,0.943,0.0696,0.711,101.38,4
0D4zauIrflEkl0VGCpVVlz,"Kaiserwalzer, Op. 437",16,783960,0,"['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']","['5goS0v24Fc1ydjCKQRwtjM', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.19,0.06,0,-18.481,1,0.0371,0.973,0.875,0.154,0.0747,179.934,3
1qbHPLkLqTbtfjWbo2PREG,Grubenlichter-Walzer,16,460707,0,"['Carl Zeller', 'Riccardo Muti', 'Wiener Philharmoniker']","['0qxX21n5NDKPD507EfOlIN', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.293,0.161,5,-16.573,1,0.0324,0.952,0.926,0.0477,0.209,97.923,4
3NaehZPsTEaAoan2INg3Y5,"Ohne Sorgen, Polka schnell, Op. 271",16,113933,0,"['Josef Strauss', 'Riccardo Muti', 'Wiener Philharmoniker']","['42fQeku9L8IztrGyUKNcT1', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.4,0.547,0,-12.044,1,0.0467,0.891,0.63,0.0663,0.857,166.178,4
0jHwqJA1CHoDbVw7018HV1,In Saus und Braus,16,121000,0,"['Carl MillÃ¶cker', 'Riccardo Muti', 'Wiener Philharmoniker']","['6K1xyGXCxKthQwJr5XSDtc', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.634,0.402,5,-12.934,1,0.0347,0.938,0.66,0.21,0.949,84.487,4
0pERBp1hRAE0eo2bmWyXuB,"Bad'ner Mad'ln, Walzer, Op. 257",16,496307,0,"['Karel KomzÃ¡k, Jr.', 'Riccardo Muti', 'Wiener Philharmoniker']","['0cFduwwF1NK3yuzHkyhNJZ', '7silW8RiEOoLBgAg5JBCL1', '003f4bk13c6Q3gAUXv7dGJ']",1/8/2021,0.345,0.135,2,-16.442,1,0.0313,0.957,0.878,0.0927,0.249,97.238,4
